,address,listingby,price,beds,baths,sqft,building_type,price/sqft
64,"Fox Plaza | 1390 Market St, San Francisco, CA",NaN,"$1,705+ Studio",NaN,NaN,NaN,NaN,NaN
65,"500 Folsom | 500 Folsom St, San Francisco, CA",NaN,"$2,756+ Studio","$3,323+ 1 bd","$5,387+ 2 bds",NaN,NaN,NaN
66,"388 Beale | 388 Beale St, San Francisco, CA",NaN,"$3,998+ 1 bd","$4,713+ 2 bds",NaN,NaN,NaN,NaN
67,"511 Missouri St APT A, San Francisco, CA 94107",NaN,"$9,995/mo",4 bds,2 ba,-- sqft,- Apartment for rent,NaN
68,"615 Cole St APT 1, San Francisco, CA 94117",NaN,"$2,895/mo",2 bds,1 ba,"1,000 sqft",- Apartment for rent,NaN
69,"6 Nottingham Pl ROOM 10, San Francisco, CA 94133",NaN,"$1,475/mo",Studio,1 ba,81 sqft,- Apartment for rent,NaN
70,"1850 Clay St APT 303, San Francisco, CA 94109",NaN,"$2,595/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
71,"802 Indiana St FLOOR 2-ID220, San Francisco, CA 94107",NaN,"$4,020/mo",1 bd,1 ba,667 sqft,- Apartment for rent,NaN
72,"50 8th St #J9ZK1B015, San Francisco, CA 94103",NaN,"$1,650+/mo",Studio,1 ba,325 sqft,- Apartment for rent,NaN
73,"2072 Mission St #8, San Francisco, CA 94110",NaN,"$1,575/mo",Studio,1 ba,125 sqft,- Apartment for rent,NaN
74,"345 6th St | 345 6th St, San Francisco, CA",NaN,"$1,795+ Studio",NaN,NaN,NaN,NaN,NaN
75,"1190 Mission at Trinity Place | 1190 Mission St, San Francisco, CA",NaN,"$1,759+ Studio","$2,399 2 bds",NaN,NaN,NaN,NaN
76,"1385 Clay Street | 1385 Clay St, San Francisco, CA",NaN,"$1,695+ Studio","$2,195+ 1 bd",NaN,NaN,NaN,NaN
77,"1100 Masonic Avenue | 1100 Masonic Ave, San Francisco, CA",NaN,"$2,300+ 1 bd",NaN,NaN,NaN,NaN,NaN
78,"1220 Kearny St, San Francisco, CA 94133",NaN,"$3,800/mo",1 bd,1.5 ba,"1,000 sqft",- House for rent,NaN
