,address,listingby,price,beds,baths,sqft,building_type,price/sqft
529,"956 Ashbury St, San Francisco, CA 94117","BILL HARKINS BROKERAGE, INC., Bill Harkins",$3.08M,4 bds,3 ba,"2,555 sqft",- Sold,
530,"2739 Larkin St, San Francisco, CA 94109","COMPASS, Maximillian D. Armour",$3.85M,3 bds,3 ba,-- sqft,- Sold,
531,"135 Manor Dr, San Francisco, CA 94127","COMPASS, Patrick Lowell",$1.55M,2 bds,2 ba,"1,212 sqft",- Sold,
532,"301 Main St UNIT 35A, San Francisco, CA 94105","COMPASS, David  Virella",$2.12M,2 bds,2 ba,"1,268 sqft",- Sold,
533,"2278 14th Ave, San Francisco, CA 94116","RE/MAX GOLD DALY CITY, Beatrice S. Kopilenko",$2.00M,5 bds,6 ba,"2,388 sqft",- Sold,
534,"1742 28th Ave, San Francisco, CA 94122",NaN,$2.40M,2 bds,1 ba,"1,275 sqft",- Sold,
535,"3 Capp St, San Francisco, CA 94103","HATCH REALTY GROUP, INC., Andrea Vanessa Trucios West",$1.01M,2 bds,1 ba,977 sqft,- Sold,
536,"875 Union St, San Francisco, CA 94133","COMPASS, John C. Fitzgerald",$1.65M,3 bds,2 ba,"1,715 sqft",- Sold,
537,"782 36th Ave, San Francisco, CA 94121",NaN,$1.65M,3 bds,2 ba,"1,815 sqft",- Sold,
538,"366 Melrose Ave, San Francisco, CA 94127","COMPASS, Judson B. Gregory",$1.40M,3 bds,2 ba,"1,229 sqft",- Sold,
539,"2407 Harrison St APT 4, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Pamela Parker Souza",$1.00M,1 bd,2 ba,976 sqft,- Sold,
540,"1108 Dolores St, San Francisco, CA 94110","KELLER WILLIAMS SAN FRANCISCO, Rob J. Costabile",$1.73M,2 bds,2 ba,-- sqft,- Sold,
541,"15 Cityview Way, San Francisco, CA 94131","ARTEMIS REAL ESTATE, Rochelle Vandermerwe",$1.90M,2 bds,2 ba,"1,655 sqft",- Sold,
542,"1001 Saddleback Dr, San Francisco, CA 94134","COLDWELL BANKER REALTY, Dexter Lim","$850,000",3 bds,2 ba,"1,332 sqft",- Sold,
543,"69 Jersey St, San Francisco, CA 94114","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami",$1.64M,2 bds,1 ba,-- sqft,- Sold,
544,"1954 48th Ave, San Francisco, CA 94116","PINNACLE PROPERTIES, Kenneth A. Hagan",$1.49M,3 bds,1 ba,"1,179 sqft",- Sold,
545,"2999 California St #604, San Francisco, CA 94115",NaN,"$680,000",1 bd,1 ba,653 sqft,- Sold,
546,"102 Webster St, San Francisco, CA 94117","COMPASS SF, Dale T. Boutiette",$1.22M,2 bds,1 ba,"1,062 sqft",- Sold,
547,"69 Summit Way, San Francisco, CA 94132","COLDWELL BANKER REALTY, Daniel Hendel",$1.44M,3 bds,3 ba,"2,133 sqft",- Sold,
548,"890 Dolores St, San Francisco, CA 94110","VANGUARD PROPERTIES, Jean-Paul Samaha",$2.37M,2 bds,2 ba,-- sqft,- Sold,
549,"1 Crescent Way APT 1104, San Francisco, CA 94134",NaN,"$608,000",1 bd,1 ba,814 sqft,- Sold,
550,"1909 Vallejo St, San Francisco, CA 94123","SOTHEBY'S INTERNATIONAL REALTY, Robert R. Callan Jr.",$4.60M,4 bds,4 ba,"2,900 sqft",- Sold,
551,"146 Beaver St, San Francisco, CA 94114","COMPASS, Isabelle Grotte",$1.27M,1 bd,1 ba,895 sqft,- Sold,
552,"986 Guerrero St, San Francisco, CA 94110","GENERATION REAL ESTATE, Lamisse Droubi",$3.20M,3 bds,2 ba,-- sqft,- Sold,
553,"200 Brannan St APT 430, San Francisco, CA 94107","BARBCO, Amy Yuen",$2.10M,2 bds,2 ba,"1,892 sqft",- Sold,
554,"690 Market St UNIT 1803, San Francisco, CA 94104","BARBCO, Betty Xu",$1.57M,2 bds,2 ba,"1,431 sqft",- Sold,
555,"249 Shipley St APT 7, San Francisco, CA 94107","SOTHEBY'S INTERNATIONAL REALTY, Carrie Buchanan-Goodman","$760,000",1 bd,2 ba,893 sqft,- Sold,
556,"338 Main St UNIT 35A, San Francisco, CA 94105","COMPASS, Justin Goldberg",$2.65M,2 bds,2 ba,"1,572 sqft",- Sold,
557,"683 Miramar Ave, San Francisco, CA 94112","COLDWELL BANKER REALTY, Janice Lee",$2.20M,5 bds,4 ba,"2,753 sqft",- Sold,
558,"818 Van Ness Ave APT 704, San Francisco, CA 94109","SOTHEBY'S INTERNATIONAL REALTY, Robert N. Moffatt",$1.19M,2 bds,2 ba,"1,147 sqft",- Sold,
559,"199 New Montgomery St UNIT 1608, San Francisco, CA 94105",NaN,"$839,000",1 bd,1 ba,653 sqft,- Sold,
560,"42 Clairview Ct, San Francisco, CA 94131","COMPASS SF, Mary Macpherson",$2.40M,5 bds,2 ba,"2,250 sqft",- Sold,
561,"1200 California St UNIT 15A, San Francisco, CA 94109","GPK LUXURY REAL ESTATE, Stephen K. Gomez",$1.80M,1 bd,2 ba,"1,450 sqft",- Sold,
562,"101 Lombard St APT 403W, San Francisco, CA 94111","PARK NORTH REAL ESTATE, Lisa M. Marroquin",$1.23M,2 bds,2 ba,"1,423 sqft",- Sold,
563,"522 France Ave, San Francisco, CA 94112","COMPASS, Juanjuan Huang",$1.42M,3 bds,1 ba,"1,352 sqft",- Sold,
564,"4194 17th St, San Francisco, CA 94114",NaN,$1.90M,3 bds,2 ba,"1,361 sqft",- Sold,
565,"440 Panorama Dr, San Francisco, CA 94131","COMPASS, Deborah L. Nguyen",$1.77M,3 bds,2 ba,"1,684 sqft",- Sold,
566,"839 Hayes St, San Francisco, CA 94117","INSPIRE REAL ESTATE, Dan Dodd",$1.60M,4 bds,2 ba,"1,997 sqft",- Sold,
567,"649 Darien Way, San Francisco, CA 94127","CORCORAN GLOBAL LIVING, Erik Reider",$2.58M,3 bds,2 ba,"2,103 sqft",- Sold,
