,address,zip,building_type,price,beds,baths,sqft,agent,brokerage
0,480 Mission Bay Blvd #1008,94158,- Sold,1.91M,2 ,2 ,1361 , Robyn L. Kaufman,COMPASS
1,152 Lombard St APT 403,94111,- Sold,1.12M,2 ,2 ,1272 , Gail Y. Grendahl,COMPASS
2,109 S Lake Merced Hls APT 3C,94132,- Sold,846000,2 ,2 ,1247 , Joanna A. Rose,REDFIN
3,3620 Cesar Chavez St #404,94110,- Sold,1.27M,2 ,2 ,1038 , Massimo F. Loporto,VANGUARD PROPERTIES
4,65 Joost Ave,94131,- Sold,1.02M,-- ,-- ,1869 , Allison Chapleau,VANGUARD PROPERTIES
5,570 Page St APT 4,94117,- Sold,1.51M,2 ,3 ,1346 , Carlos D. Cabarcos,VANGUARD PROPERTIES
6,460 Francisco St APT 302,94133,- Sold,715000,1 ,1 ,585 , Steve Gallagher,COLDWELL BANKER REALTY
7,1200 Gough St UNIT 7F,94109,- Sold,789000,1 ,1 ,840 ,0,0
8,201 Harrison St UNIT 806,94105,- Sold,540000,Studio,1 ,432 ,0,0
9,2284 Cayuga Ave,94112,- Sold,1.30M,3 ,1 ,1300 ,0,0
10,20 Powers Ave,94110,- Sold,1.55M,4 ,2 ,2510 , Michael Freethy,COMPASS
11,829 Folsom St UNIT 516,94107,- Sold,1.26M,2 ,2 ,924 , Omar Abu-Hajar,COMPASS
12,762 29th Ave,94121,- Sold,2.25M,3 ,3 ,1804 ,0,0
13,175 Bluxome St UNIT 220,94107,- Sold,780000,2 ,1 ,0 , Michael A. Leonardo,PACIFICA REAL ESTATE
14,400 Beale St APT 1202,94105,- Sold,780000,1 ,1 ,675 , Olivera Jusufagic,INTERO REAL ESTATE SERVICES
15,170 Pfeiffer St,94133,- Sold,4.40M,6 ,5 ,4015 , David W. Gowan,CORCORAN GLOBAL LIVING
16,1377 Post St APT 306,94109,- Sold,1.09M,3 ,3 ,1448 , INC.,RESIDENTIAL AGENT
17,7 Edna St,94112,- Sold,1.07M,2 ,1 ,915 , Sandra  Onken Fiek,CORCORAN GLOBAL LIVING
18,1738 Lombard St APT 8,94123,- Sold,1.80M,3 ,3 ,1717 , Mary Lou Castellanos,SOTHEBY'S INTERNATIONAL REALTY
19,1944 Bush St,94115,- Sold,2.48M,4 ,2 ,2130 , Trim T. Wellbeloved,COMPASS
20,1332 A South Van Ness Ave #1334,94110,- Sold,2.17M,6 ,2 ,2599 , Daniel R. Fernandez,CORCORAN GLOBAL LIVING
21,766 30th Ave,94121,- Sold,3.30M,6 ,5 ,3642 , Brandon S. Chen,COMPASS
22,200 Brannan St APT 405,94107,- Sold,1.61M,2 ,2 ,1500 , Donna Solen,CORCORAN GLOBAL LIVING
23,545 Ashbury St APT 2,94117,- Sold,865000,1 ,1 ,0 , Joanna A. Rose,REDFIN
24,770 Capp St #772,94110,- Sold,1.88M,6 ,3 ,2184 , Jason S. Tam,CORCORAN GLOBAL LIVING
25,1835 19th Ave #B,94122,- Sold,1.62M,5 ,4 ,2747 , Gillian Toboni,COMPASS
26,2068 3rd St APT 16,94107,- Sold,1.32M,2 ,3 ,0 , David Anderson,THE SOURCE REAL ESTATE COMPANY
27,268 Lombard St APT 4,94133,- Sold,1.30M,1 ,1 ,832 , Marla Moresi-Valdes,SOTHEBY'S INTERNATIONAL REALTY
28,1901 Scott St,94115,- Sold,13.0M,5 ,7 ,0 , Stacey E. Caen,SOTHEBY'S INTERNATIONAL REALTY
29,2983 21st St #B,94110,- Sold,445000,1 ,1 ,0 , Claudia L. Siegel,COMPASS
30,0,0,0,0,0,0,0,0,0
31,401 Sloat Blvd,94132,- Sold,1.96M,3 ,2 ,2228 , Pat Rock,CORCORAN GLOBAL LIVING
32,2267 39th Ave,94116,- Sold,1.56M,2 ,1 ,1137 , Michael L. Lewin,WIENER & ASSOC./A. LEWIN PROP.
33,1183 Munich St,94112,- Sold,1.41M,2 ,1 ,1272 , Lamisse Droubi,GENERATION REAL ESTATE
34,555 Moultrie St,94110,- Sold,1.82M,4 ,2 ,1415 , Mary Macpherson,COMPASS SF
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,119 Buena Vista Ter,94117,- Sold,1.85M,2 ,2 ,1115 , Tim J. Gullicksen,CORCORAN GLOBAL LIVING
41,1998 Broadway St #706,94109,- Sold,1.55M,2 ,2 ,1170 , Travis C. Hale,COMPASS SF
42,2983 21st St #B,94110,- Sold,445000,1 ,1 ,0 , Claudia L. Siegel,COMPASS
43,1914 Funston Ave,94116,- Sold,2.35M,4 ,3 ,2127 ,0,0
44,3375 17th St APT 308,94110,- Sold,1.20M,1 ,2 ,1294 , Jessica Branson,COMPASS
45,8 Mateo St,94131,- Sold,2.17M,3 ,3 ,0 , Jessica Branson,COMPASS
46,1626 21st Ave,94122,- Sold,1.85M,3 ,2 ,2033 , Andrew de Vries,BERKSHIRE HATHAWAY-FRANCISCAN
47,515 12th Ave,94118,- Sold,1.95M,2 ,2 ,1825 , Scott Whelan,COMPASS SF
48,2346 41st Ave,94116,- Sold,1.68M,3 ,2 ,1174 ,0,0
49,1000 3rd St UNIT 713,94158,- Sold,1.20M,2 ,2 ,1004 , Vi N. Pavlicevich,SKYBOX REALTY
50,1177 California St APT 1525,94108,- Sold,900000,1 ,1 ,653 , Ric A. Rocchiccioli,COMPASS SF
51,425 14th St APT 2,94103,- Sold,1.20M,2 ,2 ,1099 , Vanessa R. Gamp,CORCORAN GLOBAL LIVING
52,109 Willard North St #111,94118,- Sold,2.00M,4 ,2 ,2130 , Paul Barbagelata,BARBCO
53,1310 Fillmore St APT 701,94115,- Sold,1.30M,3 ,3 ,1513 , Yu Ying Huang,NORCAL REALTY
54,70 Heather Ave #70,94118,- Sold,1.15M,1 ,1 ,870 , Anthony R. Navarro,HARPER REAL ESTATE
55,401 Harrison St APT 18B,94105,- Sold,1.75M,2 ,2 ,1311 , Denise L. Paulson,COMPASS
56,57 Blair Ter,94107,- Sold,1.18M,3 ,1 ,1109 , Ric A. Rocchiccioli,COMPASS SF
57,4761 18th St,94114,- Sold,1.60M,2 ,1 ,1245 , Ruth Krishnan,COMPASS SF
58,1901 Scott St,94115,- Sold,13.0M,5 ,7 ,0 , Stacey E. Caen,SOTHEBY'S INTERNATIONAL REALTY
59,128 Elsie St,94110,- Sold,4.0M,4 ,5 ,0 , Catherine Watson,VANGUARD PROPERTIES
60,451 Kansas St UNIT 402,94107,- Sold,399233,1 ,1 ,656 , Robert  Belli,HOME QUEST REALTY
61,700 Victoria St,94127,- Sold,2.25M,3 ,2 ,2075 ,0,0
62,1700 Funston Ave,94122,- Sold,1.7M,-- ,-- ,2506 ,0,0
63,364 17th Ave,94121,- Sold,3.5M,4 ,3 ,2405 , Helena Zaludova,COMPASS SF
64,1593 Treat Ave,94110,- Sold,1.51M,2 ,1 ,1130 , Shelly L. Sutherland,KINDRED SF HOMES
65,3471 Mission St #3475,94110,- Sold,2.03M,6 ,3 ,4125 , Joseph V. Levy,MARCUS & MILLICHAP
66,3095 23rd Ave,94132,- Sold,3.1M,6 ,3 ,3365 , Richard B. Teed,COMPASS
67,278 Monterey Blvd,94131,- Sold,1.3M,3 ,3 ,1776 , Pete Brannigan,COMPASS SF
68,212 Putnam St,94110,- Sold,875000,Studio,-- ,0 , Robert R. Callan Jr.,SOTHEBY'S INTERNATIONAL REALTY
69,1814 Webster St #1816,94115,- Sold,2.2M,4 ,3 ,2390 , Dona Crowder,COLDWELL BANKER REALTY
70,1439 Page St,94117,- Sold,1.95M,3 ,2 ,1924 , Judson B. Gregory,COMPASS
71,109 S Lake Merced Hls APT 2B,94132,- Sold,805000,3 ,2 ,1474 , Tim Hawko,PARK NORTH REAL ESTATE
72,24 Woodland Ave #A,94117,- Sold,1.95M,4 ,3 ,0 , Gillian S. Pontes,COMPASS
73,24 Woodland Ave,94117,- Sold,1.8M,3 ,2 ,0 , Gillian S. Pontes,COMPASS
74,3190 Scott St APT 302,94123,- Sold,1.45M,2 ,2 ,1037 , Vanessa Kitchen,COMPASS
75,1010 Silliman St,94134,- Sold,2.15M,5 ,4 ,2417 , Karen Mendelsohn Gould,COMPASS
76,75 Folsom St APT 800,94105,- Sold,959500,1 ,1 ,1019 , Paul Hwang,SKYBOX REALTY
77,1767 43rd Ave,94122,- Sold,1.3M,3 ,2 ,1525 ,0,0
78,175 28th St,94131,- Sold,2.6M,6 ,4 ,3630 , Steve M. Dells,CORCORAN GLOBAL LIVING
79,135 Hearst Ave,94131,- Sold,1.34M,2 ,1 ,0 , Kalok Law,SEQUOIA REAL ESTATE
80,70 Cerritos Ave,94127,- Sold,3.23M,5 ,3 ,3397 , Marianne Bacigalupi Schier,COMPASS
81,201 Harrison St APT 405,94105,- Sold,600000,1 ,1 ,544 , Neil  Canlas,THE CANLAS BROTHERS
82,250 Clara St UNIT 15,94107,- Sold,840000,1 ,2 ,864 , Ronald B. Whitney,CORCORAN GLOBAL LIVING
83,55 Red Rock Way APT 107O,94131,- Sold,612000,-- ,1 ,592 ,0,0
84,300 Ivy St APT 513,94102,- Sold,925000,1 ,1 ,677 ,0,0
85,2831 Kirkham St,94122,- Sold,1.83M,3 ,2 ,1828 , Jason C. Chan,BARBCO
86,530 Chestnut St #C308,94133,- Sold,1.41M,2 ,2 ,1313 , INC.,HATCH REALTY GROUP
87,1521 Sutter St APT 307,94109,- Sold,1.10M,2 ,2 ,957 , Ivan T. Fujinaka,LEFT COAST PROPERTIES
88,435 China Basin St UNIT 218,94158,- Sold,968000,1 ,1 ,838 , Dianne M. Hartnett,COMPASS
89,2148 Union St #2,94123,- Sold,1.43M,2 ,2 ,0 , Frank A. Nolan,VANGUARD PROPERTIES
90,262 Missouri St,94107,- Sold,1.80M,6 ,3 ,3630 , Mimi A. Bruce,COMPASS
91,1250 Clay St APT 204,94108,- Sold,740000,1 ,1 ,0 , Bistra V. Bejanski,COMPASS
92,4319 25th St,94114,- Sold,4.00M,4 ,5 ,2893 , Michael Freethy,COMPASS
93,75 Folsom St APT 901,94105,- Sold,1.43M,2 ,2 ,1287 , Shalini R. Sadda,CITY REAL ESTATE
94,75 Santa Barbara Ave,94112,- Sold,1.29M,4 ,3 ,1880 ,0,0
95,400 Beale St APT 1403,94105,- Sold,1.14M,2 ,2 ,1074 , Michelle Stephens,COLDWELL BANKER REALTY
96,2071 18th Ave,94116,- Sold,2.23M,5 ,5 ,2143 , Bryan Au,BETTER HOMES AND GARDENS REAL
97,1367 Natoma St,94103,- Sold,715000,2 ,1 ,713 , Anthony L. Koutsos,KELLER WILLIAMS SAN FRANCISCO
98,2531 34th Ave,94116,- Sold,1.55M,4 ,2 ,1458 , Jason C. Chan,BARBCO
99,2064 Jackson St,94109,- Sold,7.60M,3 ,3 ,0 , Annie M. Williams,SOTHEBY'S INTERNATIONAL REALTY
100,745 39th Ave,94121,- Sold,3.00M,4 ,2 ,2990 , Robert N. Moffatt,SOTHEBY'S INTERNATIONAL REALTY
101,730 Anderson St,94110,- Sold,1.05M,2 ,2 ,960 , Jeff Tepermeyster,MAXXREALTY
102,355 Buena Vista Ave #505W,94117,- Sold,832500,1 ,1 ,719 , Steve M. Dells,CORCORAN GLOBAL LIVING
103,268 Wawona St,94127,- Sold,4.25M,5 ,6 ,3553 , Paul Barbagelata,BARBCO
104,74 Levant St,94114,- Sold,1.32M,3 ,2 ,2019 , Darwin Tejada,SOTHEBY'S INTERNATIONAL REALTY
105,80 San Andreas Way,94127,- Sold,3.35M,3 ,4 ,2435 , Jane R. Poppelreiter,COMPASS SF
106,3500 19th St #203,94110,- Sold,2.08M,2 ,3 ,1589 , Frank A. Nolan,VANGUARD PROPERTIES
107,2044 Green St,94123,- Sold,4.15M,3 ,4 ,2877 , Dennis R. Otto,COMPASS
108,202 Ripley St,94110,- Sold,1.75M,3 ,2 ,1670 , Justina M. Colunga,VANGUARD PROPERTIES
109,1960 Baker St,94115,- Sold,3.40M,5 ,4 ,3989 , Edward F. Milestone,BERKSHIRE HATHAWAY-FRANCISCAN
110,1150 Wayland St,94134,- Sold,1.30M,2 ,1 ,1473 , Carlos D. Cabarcos,VANGUARD PROPERTIES
111,1868 Van Ness Ave APT 301,94109,- Sold,1.27M,2 ,2 ,0 ,0,0
112,255 Berry St APT 413,94158,- Sold,1.20M,2 ,2 ,1050 , Jina Kang,COMPASS
113,601 Van Ness Ave APT 123,94102,- Sold,420000,1 ,1 ,550 , Daniel P. Langford,CORCORAN GLOBAL LIVING
114,1558 Clay St #1560,94109,- Sold,1.48M,4 ,4 ,2266 , John K. Ngau,NEW PACIFIC RLTY. & INV.
115,41 Ora Way,94131,- Sold,3.75M,4 ,3 ,2865 , Daniel R. Fernandez,CORCORAN GLOBAL LIVING
116,54-56 Elizabeth St #56,94110,- Sold,675000,-- ,-- ,0 ,0,0
117,178 Brewster St,94110,- Sold,1.95M,4 ,4 ,1981 , Michael H. Shaw,VANGUARD PROPERTIES
118,995 Clayton St #997,94117,- Sold,1.90M,4 ,2 ,3050 , Zhen Bang Yu,FADCAL HOME & MORTGAGES
119,24 Woodland Ave #B,94117,- Sold,849000,1 ,2 ,0 , Gillian S. Pontes,COMPASS
120,873 Union St,94133,- Sold,2.10M,4 ,3 ,2090 , John C. Fitzgerald,COMPASS
121,1817 California St APT 105,94109,- Sold,600000,1 ,1 ,542 , Gary J. Snow,COMPASS SF
122,555 Bartlett St APT 304,94110,- Sold,1.17M,2 ,2 ,1056 , Mollie W. Poe,INDIGO REAL ESTATE
123,1043 Alabama St,94110,- Sold,850000,3 ,1 ,1470 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
124,1 Hawthorne St UNIT 20A,94105,- Sold,1.02M,1 ,1 ,909 , Leslie Bauer,COLDWELL BANKER REALTY
125,408 Sweeny St,94134,- Sold,1.35M,Studio,-- ,1170 , Richard Cairo,INTERO REAL ESTATE SERVICES
126,170 Summit Way,94132,- Sold,1.23M,3 ,2 ,1547 , JUNG & CO.,ANDERSEN
127,950 Kansas St #1,94107,- Sold,1.38M,3 ,2 ,1645 , Edward Ong,CORPEN REAL ESTATE GROUP
128,3380 22nd St #A,94110,- Sold,1.35M,2 ,2 ,0 , Laura A. Rogers,COMPASS
129,201 Folsom St APT 21A,94105,- Sold,1.91M,2 ,2 ,1368 , Crystal C. Injo,COMPASS
130,20 Parkridge Dr APT 12,94131,- Sold,849000,2 ,1 ,0 , Michael H. Shaw,VANGUARD PROPERTIES
131,546 43rd Ave,94121,- Sold,1.21M,2 ,1 ,0 , Scott E-Li Yeh,COLDWELL BANKER REALTY
132,3620 19th St APT 5,94110,- Sold,1.57M,2 ,3 ,0 , Michael H. Shaw,VANGUARD PROPERTIES
133,4547 18th St #B,94114,- Sold,2.40M,4 ,3 ,2100 , Jean-Paul Samaha,VANGUARD PROPERTIES
134,4351 17th St,94114,- Sold,1.31M,2 ,-- ,1230 , Michael L. Bellings,COMPASS
135,370 De Haro St APT A8,94103,- Sold,1.20M,1 ,2 ,1334 , Anthony Kwiecien,COMPASS
136,1595 Treat Ave,94110,- Sold,2.00M,3 ,3 ,1760 , Shelly L. Sutherland,KINDRED SF HOMES
137,457 Duncan St,94131,- Sold,1.70M,2 ,1 ,870 , Tal Klein,COMPASS
138,66 Gould St,94124,- Sold,1.05M,3 ,2 ,1250 , Gary Lo,COLDWELL BANKER REALTY
139,455 Buena Vista Ave,94117,- Sold,6.20M,4 ,7 ,6035 , Dino Zuzic,COMPASS
140,1041 Alabama St,94110,- Sold,950000,2 ,1 ,1430 , Paul Warrin,GOLDEN GATE SOTHEBY'S INTL
141,201 Folsom St APT 35A,94105,- Sold,2.83M,2 ,2 ,1568 , Emma Aslanian,COLDWELL BANKER REALTY
142,280 Spear St #3U,94105,- Sold,710000,1 ,1 ,671 , POLARIS PACIFIC,Tishman Speyer
143,534 Shotwell St APT 1,94110,- Sold,975000,2 ,1 ,0 , Radha Tomassetti,COMPASS
144,467 Naples St,94112,- Sold,1.10M,2 ,2 ,1242 , INC,EXP REALTY OF CALIFORNIA
145,2145 15th Ave,94116,- Sold,2.08M,3 ,2 ,1884 , Edward F. Milestone,BERKSHIRE HATHAWAY-FRANCISCAN
146,32 Hartford St,94114,- Sold,2.50M,2 ,1 ,0 , Shannon L. Hughes,COMPASS
147,28 Beideman St,94115,- Sold,1.32M,2 ,2 ,934 , Michael H. Shaw,VANGUARD PROPERTIES
148,1554 Dolores St,94110,- Sold,1.75M,3 ,2 ,1832 , C.M. Foo,COMPASS
149,555 Golden Gate Ave #302,94102,- Sold,799000,2 ,1 ,830 , Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
150,255 Berry St APT 115,94158,- Sold,1.65M,3 ,3 ,1707 ,0,0
151,455 Vallejo St APT 304,94133,- Sold,1.25M,2 ,2 ,1009 , Dale T. Boutiette,COMPASS SF
152,165 Ripley St,94110,- Sold,1.65M,2 ,1 ,1225 , Calvin M. Kam,COMPASS
153,3620 Cesar Chavez St #103,94110,- Sold,735000,1 ,1 ,0 , Massimo F. Loporto,VANGUARD PROPERTIES
154,1000 3rd St #412,94158,- Sold,987000,1 ,1 ,767 , Dunja Green,COMPASS
155,1310 Fillmore St APT 501,94115,- Sold,1.38M,3 ,3 ,1513 , Lisa M. Lyons,COMPASS
156,50 Lansing St UNIT 505,94105,- Sold,1.10M,2 ,2 ,995 , Yelena Laudati,COMPASS
157,242 San Jose Ave,94110,- Sold,5.55M,4 ,4 ,3350 , Missy Wyant Smit,COMPASS
158,227 Flood Ave,94112,- Sold,1.70M,2 ,1 ,2129 , Deborah Lynn Rutledge,COMPASS
159,74 New Montgomery St UNIT 203,94105,- Sold,575000,1 ,1 ,592 , Justin Goldberg,COMPASS
160,74 New Montgomery St UNIT 203,94105,- Sold,575000,1 ,1 ,592 , Justin Goldberg,COMPASS
161,291 Hearst Ave,94131,- Sold,1.25M,2 ,2 ,1525 ,0,0
162,1554 Dolores St,94110,- Sold,1.75M,3 ,2 ,1832 , C.M. Foo,COMPASS
163,28 Beideman St,94115,- Sold,1.32M,2 ,2 ,934 , Michael H. Shaw,VANGUARD PROPERTIES
164,50 Lansing St UNIT 505,94105,- Sold,1.10M,2 ,2 ,995 , Yelena Laudati,COMPASS
165,573 14th Ave,94118,- Sold,1.83M,2 ,2 ,1788 , Missy Wyant Smit,COMPASS
166,555 Golden Gate Ave #204,94102,- Sold,649000,1 ,1 ,573 , Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
167,1504 Mcallister St #B,94115,- Sold,1.40M,3 ,2 ,1318 , Alan F. Morcos,COMPASS
168,555 Golden Gate Ave #302,94102,- Sold,799000,2 ,1 ,830 , Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
169,1310 Fillmore St APT 501,94115,- Sold,1.38M,3 ,3 ,1513 , Lisa M. Lyons,COMPASS
170,32 Hartford St,94114,- Sold,2.50M,2 ,1 ,0 , Shannon L. Hughes,COMPASS
171,2350 42nd Ave,94116,- Sold,1.90M,4 ,3 ,1960 , Jeremy A. Rushton,COLDWELL BANKER REALTY
172,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0
194,1239 19th Ave,94122,- Sold,1.91M,6 ,4 ,2717 , Marcus A. Lee,COMPASS
195,1450 Greenwich St APT 103,94109,- Sold,1.42M,1 ,1 ,900 , Kevin Wakelin,COMPASS
196,1905 Laguna St APT 104,94115,- Sold,751000,Studio,1 ,0 , Eduardo Aguire,CORCORAN GLOBAL LIVING
197,2299 Market St APT 201,94114,- Sold,900000,1 ,1 ,688 , Mollie W. Poe,INDIGO REAL ESTATE
198,0,0,0,0,0,0,0,0,0
199,900 Bush St APT 717,94109,- Sold,730000,2 ,2 ,901 , Lauren O'Brien,CORCORAN GLOBAL LIVING
200,419 27th St,94131,- Sold,1.65M,3 ,2 ,1962 , Pete Brannigan,COMPASS SF
201,900 Bush St APT 717,94109,- Sold,730000,2 ,2 ,901 , Lauren O'Brien,CORCORAN GLOBAL LIVING
202,170 Fairmount St,94131,- Sold,1.73M,3 ,2 ,1761 , Dylan Hunter,COMPASS
203,1239 19th Ave,94122,- Sold,1.91M,6 ,4 ,2717 , Marcus A. Lee,COMPASS
204,3915 20th St,94114,- Sold,1.60M,2 ,2 ,1301 , John L. LePage,CORCORAN GLOBAL LIVING
205,61 Hallam St,94103,- Sold,660000,1 ,1 ,762 , Frank A. Nolan,VANGUARD PROPERTIES
206,435 China Basin St UNIT 213,94158,- Sold,995000,1 ,1 ,843 , Alexander S. Varum,ALEX VARUM BROKER
207,129 Divisadero St,94117,- Sold,2.30M,2 ,2 ,1755 , Tyler  Stewart,HEATH REAL ESTATE
208,169 Collingwood St APT 1,94114,- Sold,1.57M,3 ,2 ,1305 , Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
209,265 Arkansas St,94107,- Sold,3.00M,4 ,3 ,2890 , Eric D. Altree,COMPASS
210,330 Mission Bay Blvd N UNIT 903,94158,- Sold,1.57M,2 ,2 ,0 , Kevin Gueco,KINOKO
211,4069 26th St,94131,- Sold,2.80M,4 ,4 ,0 , Marcell P. Neri,KINOKO
212,729 Moraga St,94122,- Sold,2.48M,4 ,4 ,2732 , Ashley Barrington-Mace,SOTHEBY'S INTERNATIONAL REALTY
213,140 S Van Ness Ave UNIT 630,94103,- Sold,675000,1 ,1 ,795 , SCOTT,KELLER
214,17 Olympia Way,94131,- Sold,1.97M,5 ,3 ,1533 , INC.,ELITE REALTY GROUP
215,2736 Ortega St,94122,- Sold,1.50M,3 ,2 ,1705 ,0,0
216,173 Beaver St,94114,- Sold,3.80M,3 ,3 ,0 , Stephen Bartlett,COMPASS
217,55 Page St APT 321,94102,- Sold,1.07M,1 ,1 ,746 , Priya Agrawal,COMPASS
218,115 Diamond Cove Ter,94134,- Sold,980000,2 ,3 ,1336 , Thomas A. Baumgartner,REDFIN
219,47 Dolores Ter,94110,- Sold,1.27M,1 ,1 ,0 , Chris J. Panou,SOTHEBY'S INTERNATIONAL REALTY
220,2200 Beach St APT 204,94123,- Sold,1.32M,1 ,1 ,980 , Carol A. Goldberg,SOTHEBY'S INTERNATIONAL REALTY
221,400 Avila St APT 202,94123,- Sold,1.12M,1 ,1 ,0 , David B. Bellings,COMPASS
222,601 Van Ness Ave APT 1009,94102,- Sold,580000,1 ,1 ,672 , Astrid Lacitis,VANGUARD PROPERTIES
223,5900 3rd St UNIT 2221,94124,- Sold,775000,2 ,2 ,0 , Jessie Lee,COMPASS SF
224,3375 17th St APT 208,94110,- Sold,1.10M,1 ,2 ,1294 , Brandon Yager,YAGER REALTY OF CALIFORNIA
225,55 Page St APT 523,94102,- Sold,1.24M,2 ,2 ,947 ,0,0
226,809 Goettingen St,94134,- Sold,1.27M,3 ,3 ,1353 , Judson R. Cassels,VANGUARD PROPERTIES
227,1526 Palou Ave,94124,- Sold,1.45M,4 ,4 ,2138 ,0,0
228,150 Lombard St APT 209,94111,- Sold,1.07M,2 ,2 ,1116 , Gail Y. Grendahl,COMPASS
229,918 Kansas St,94107,- Sold,3.20M,4 ,4 ,3200 , John L. LePage,CORCORAN GLOBAL LIVING
230,1334 Potrero Ave,94110,- Sold,1.62M,2 ,3 ,1365 , Amanda B. Sharp,COMPASS
231,6418 California St,94121,- Sold,2.24M,3 ,2 ,1780 , Winnie W. Fok,SOTHEBY'S INTERNATIONAL REALTY
232,2519 Chestnut St,94123,- Sold,2.70M,3 ,3 ,2045 , Bryant R. Kowalczyk,MARKER LUXURY PROPERTIES
233,1371 Dolores St,94110,- Sold,1.77M,3 ,2 ,1506 , Sherri Howe,BRAVA REAL ESTATE
234,2148 Union St #4,94123,- Sold,1.30M,1 ,1 ,0 , Frank A. Nolan,VANGUARD PROPERTIES
235,250 King St UNIT 730,94107,- Sold,1.36M,2 ,2 ,1415 , Miyuki Mia Takami,KELLER WILLIAMS SAN FRANCISCO
236,937 Dolores St APT 4,94110,- Sold,975000,1 ,1 ,885 , Scott P. Brittain,SOTHEBY'S INTERNATIONAL REALTY
237,1901 Union St #1907,94123,- Sold,5.80M,3 ,4 ,5060 , Damon M. Knox,CORCORAN GLOBAL LIVING
238,7 Capp St,94103,- Sold,975000,2 ,1 ,882 , Deborah Lopez,COMPASS SF
239,1904 9th Ave,94116,- Sold,2.48M,4 ,4 ,2395 , Dylan Hunter,COMPASS
240,2009 17th St,94103,- Sold,1.98M,2 ,3 ,1247 , Tara C. Donohue,CORCORAN GLOBAL LIVING
241,318 Spear St UNIT 5G,94105,- Sold,642000,1 ,1 ,538 ,0,0
242,344 Utah St,94103,- Sold,575000,Studio,1 ,0 , Gael Bruno,SOTHEBY'S INTERNATIONAL REALTY
243,488 Folsom St #4702,94105,- Sold,4.55M,3 ,3 ,2064 , INC.,RELATED CA RES. SALES
244,1895 Pacific Ave APT 203,94109,- Sold,1.01M,1 ,1 ,1044 , Kyle Algeo,MARKER LUXURY PROPERTIES
245,860 De Haro St,94107,- Sold,3.38M,3 ,4 ,0 , Matthew J. Woebcke,COMPASS SF
246,348 Church St APT 202,94114,- Sold,1.54M,2 ,2 ,1211 , Joseph A. Marko,COMPASS SF
247,443 Chestnut St,94133,- Sold,2.80M,9 ,5 ,4542 , Scott Whelan,COMPASS SF
248,526 Ulloa St,94127,- Sold,2.05M,2 ,2 ,0 , Linda R. LeBlanc,COMPASS SF
249,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0
266,1783 San Jose Ave,94112,- Sold,1.55M,3 ,2 ,1649 , Carren S. Shagley,LEGACY REAL ESTATE
267,2407 Harrison St APT 17,94110,- Sold,1.15M,2 ,3 ,1825 , Victor G. Makras,MAKRAS REAL ESTATE
268,3178 Washington St,94115,- Sold,2.45M,3 ,2 ,1875 , Silvia E. Damen,COMPASS
269,3058 Polk St #1,94109,- Sold,1.68M,3 ,2 ,1471 , Amanda B. Sharp,COMPASS
270,429 Carl St,94117,- Sold,1.52M,2 ,2 ,1131 , John G. Dallas,CITY REAL ESTATE
271,675 39th Ave,94121,- Sold,1.40M,2 ,1 ,1455 , Alfred S. Lee,P Y LEE REALTY
272,515 Masonic Ave APT 3,94117,- Sold,830000,1 ,1 ,707 ,0,0
